Sample ID,Secondary Host,Primary Host,Extraction,Group
HF1,Horse Fly,Buffalo,Whole Body,Buffalo
HF2,Horse Fly,Buffalo,Whole Body,Buffalo
HF3,Horse Fly,Buffalo,Whole Body,Buffalo
HF4,Horse Fly,Buffalo,Whole Body,Buffalo
HF5,Horse Fly,Buffalo,Whole Body,Buffalo
HF6,Horse Fly,Buffalo,Whole Body,Buffalo
HF7,Horse Fly,Buffalo,Whole Body,Buffalo
HF8,Horse Fly,Buffalo,Whole Body,Buffalo
HF9,Horse Fly,Buffalo,Whole Body,Buffalo
HF10,Horse Fly,Buffalo,Whole Body,Buffalo
HF11,Horse Fly,Cow,Whole Body,Cow
HF12,Horse Fly,Cow,Whole Body,Cow
HF13,Horse Fly,Cow,Whole Body,Cow
HF14,Horse Fly,Cow,Whole Body,Cow
HF15,Horse Fly,Cow,Whole Body,Cow
HF16,Horse Fly,Cow,Whole Body,Cow
HF17,Horse Fly,Cow,Whole Body,Cow
HF18,Horse Fly,Cow,Whole Body,Cow
HF19,Horse Fly,Cow,Whole Body,Cow
HF20,Horse Fly,Cow,Whole Body,Cow
HF21,Horse Fly,Goat,Whole Body,Goat
HF22,Horse Fly,Goat,Whole Body,Goat
HF23,Horse Fly,Goat,Whole Body,Goat
HF24,Horse Fly,Goat,Whole Body,Goat
HF25,Horse Fly,Goat,Whole Body,Goat
HF26,Horse Fly,Goat,Whole Body,Goat
HF27,Horse Fly,Goat,Whole Body,Goat
HF28,Horse Fly,Goat,Whole Body,Goat
HF29,Horse Fly,Goat,Whole Body,Goat
HF30,Horse Fly,Goat,Whole Body,Goat
